## this file encodes a dSFMT state, and is used in the tests
# test-sse2-str-state-M19937 and test-std-str-state-M19937

dsfmt_id=dSFMT2-19937:117-19:ffafffffffb3f-ffdfffc90fffd
dsfmt_idx=68
		## comments can be interspersed
dsfmt_state[000]=0x1.29299c4c78457p+0 0x1.bf9a73f683a1p+0 ##comment
dsfmt_state[001]=0x1.8bf408424ef9p+0 0x1.d061c08612d67p+0
dsfmt_state[002]=0x1.95495b72043c1p+0 0x1.8adefce33f078p+0
dsfmt_state[003]=0x1.e6e84bb24030ep+0 0x1.c42a1ede47b1dp+0

#blank lines are OK

dsfmt_state[004]=0x1.207a59bf766d5p+0 0x1.949945f9e0d83p+0
dsfmt_state[005]=0x1.47ffb2b396f53p+0 0x1.f3c76e25802e4p+0
dsfmt_state[006]=0x1.3f5a7a85ec517p+0 0x1.48301b0cdc9edp+0
dsfmt_state[007]=0x1.7e1ebb0655d5fp+0 0x1.8e1214e4387adp+0
dsfmt_state[008]=0x1.a31e6c3a4b652p+0 0x1.32698e73fdfcp+0 ##comment
dsfmt_state[009]=0x1.83219602b4f02p+0 0x1.4db6958930a0fp+0
dsfmt_state[010]=0x1.22cdfc34c6a5fp+0 0x1.c02e729b1799cp+0
					# another comment
dsfmt_state[011]=0x1.1d48b67a204dp+0 0x1.d78302da4dfacp+0
dsfmt_state[012]=0x1.43b9aaaac1f44p+0 0x1.9e4ffee6e77cdp+0
dsfmt_state[013]=0x1.57986f7120ba8p+0 0x1.bfeb9deab00d6p+0
dsfmt_state[014]=0x1.07973aed731b9p+0 0x1.ba99ff5a1a976p+0
dsfmt_state[015]=0x1.e7680e50f7574p+0 0x1.7763a475f0141p+0
dsfmt_state[016]=0x1.b05d2026cb389p+0 0x1.8ef1bf24479bap+0
dsfmt_state[017]=0x1.b250f7299028cp+0 0x1.37f698dbc5b69p+0
dsfmt_state[018]=0x1.b73ac567a67a8p+0 0x1.6ceec3ad64f4fp+0
dsfmt_state[019]=0x1.829d42b580567p+0 0x1.197e54632e279p+0
dsfmt_state[020]=0x1.bd496f87a1ddep+0 0x1.6149838359eacp+0
dsfmt_state[021]=0x1.69fc61d185a3ap+0 0x1.bd5ce3a709cfap+0
dsfmt_state[022]=0x1.31b19064c2069p+0 0x1.ab1ddcb4af89bp+0
dsfmt_state[023]=0x1.764e2b83f1103p+0 0x1.fd3c4cd6da96p+0
dsfmt_state[024]=0x1.db50edeb03ba5p+0 0x1.5802d5d01e55p+0
dsfmt_state[025]=0x1.d8f480b69fb49p+0 0x1.385bbc1df2d02p+0
dsfmt_state[026]=0x1.6f6dae7cf9c6p+0 0x1.5b9d82329b14ep+0
dsfmt_state[027]=0x1.48fb42ab8f9ccp+0 0x1.e3f188a73a117p+0
dsfmt_state[028]=0x1.48b9b5266a97cp+0 0x1.3981c02e725b5p+0
dsfmt_state[029]=0x1.fb9d38f82886ap+0 0x1.7878a3517c509p+0
dsfmt_state[030]=0x1.26ca3f371a85ap+0 0x1.685a17eefe3b6p+0
dsfmt_state[031]=0x1.dbc9796918542p+0 0x1.431fa102889b7p+0
dsfmt_state[032]=0x1.c111e95771aa4p+0 0x1.46768f8dbc94ap+0
dsfmt_state[033]=0x1.96ddff46e5eecp+0 0x1.7a7268b6ba5afp+0
dsfmt_state[034]=0x1.6c6ee24fbcb9ep+0 0x1.6a832b41ffadap+0
dsfmt_state[035]=0x1.785109ad6401ep+0 0x1.214c68f333715p+0
dsfmt_state[036]=0x1.2b456a0564722p+0 0x1.3a883d99823f3p+0
dsfmt_state[037]=0x1.1d038484ecffbp+0 0x1.8deb8af1d347fp+0
dsfmt_state[038]=0x1.08c0cc4b3c37bp+0 0x1.0309caef43052p+0
dsfmt_state[039]=0x1.a3115b3be5124p+0 0x1.722d67af3ad58p+0
dsfmt_state[040]=0x1.c88721825beecp+0 0x1.8369f750c49f1p+0
dsfmt_state[041]=0x1.3ebb864a30a1cp+0 0x1.40da116507a2cp+0
dsfmt_state[042]=0x1.d17d0c1bb0913p+0 0x1.63a46cd8c3348p+0
dsfmt_state[043]=0x1.2065e1acca67bp+0 0x1.e450f155f47fcp+0
dsfmt_state[044]=0x1.0f9ad385d03bep+0 0x1.7e4c670e7e3f9p+0
dsfmt_state[045]=0x1.6700accb29ebfp+0 0x1.61bb69523a3fcp+0
dsfmt_state[046]=0x1.85112358b0cefp+0 0x1.0da4d895bc772p+0
dsfmt_state[047]=0x1.8ff53bdb4fdbfp+0 0x1.0c849cdf61b4bp+0
dsfmt_state[048]=0x1.0c6e7e148cd77p+0 0x1.0e5c74790daa2p+0
dsfmt_state[049]=0x1.58f7b3f85de2dp+0 0x1.7c9d44b0cef23p+0
dsfmt_state[050]=0x1.547b4d4bbdf56p+0 0x1.dad7d64f2826cp+0
dsfmt_state[051]=0x1.a6f3d7cd84766p+0 0x1.bf471979758efp+0
dsfmt_state[052]=0x1.362d5d7b04efep+0 0x1.d935cace4b89ap+0
dsfmt_state[053]=0x1.edd45f37ef6e8p+0 0x1.22d76c69cae53p+0
dsfmt_state[054]=0x1.b73cb9a7fff05p+0 0x1.4af9cebd22b4cp+0
dsfmt_state[055]=0x1.26edae4f9659ap+0 0x1.e7bc71eb59538p+0
dsfmt_state[056]=0x1.14193de8dc3abp+0 0x1.ae69f4a671176p+0
dsfmt_state[057]=0x1.1b940d8c32c87p+0 0x1.c1de9677739bcp+0
dsfmt_state[058]=0x1.bbcc62b0b7366p+0 0x1.dc20d72cb31aep+0
dsfmt_state[059]=0x1.b46a06afdb891p+0 0x1.b2e00ea72f1c5p+0
dsfmt_state[060]=0x1.2bbdc5979283fp+0 0x1.c8d067349616cp+0
dsfmt_state[061]=0x1.cfd406c37f216p+0 0x1.3e66123c68f85p+0
